0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,184.39,82.59,39.47,-185.96,0.00,0.00,-63.90,73.76,9.86
Mar 05,220.24,192.46,-45.18,-140.51,0.00,0.00,6.77,9.86,16.63
Mar 06,200.71,64.90,-37.41,-36.17,0.00,0.00,-8.68,150.61,141.93
Mar 07,118.41,87.08,59.05,-49.15,0.00,0.00,96.98,141.93,238.91
Mar 08,232.26,63.13,-130.31,53.08,0.00,0.00,-14.10,238.91,224.81
Mar 09,232.52,246.78,12.28,-145.77,0.00,0.00,113.28,224.81,338.09
Mar 10,120.78,235.29,-109.69,-184.05,0.00,0.00,-58.45,338.09,279.64
Mar 11,198.06,246.32,-156.42,-107.39,0.00,0.00,-17.49,13.13,-4.36
Mar 12,252.37,210.66,-51.56,-128.55,0.00,0.00,30.55,-4.36,26.19
Mar 13,332.18,272.01,53.89,-359.11,0.00,0.00,-33.21,26.19,-7.02
Mar 14,542.62,614.51,-227.34,-325.46,0.00,0.00,61.71,-7.02,54.69
Mar 15,882.61,515.33,-384.29,-168.11,0.00,0.00,-37.07,54.69,17.62
Mar 16,1131.56,877.69,-659.37,-228.29,0.00,0.00,-9.97,17.62,7.65
Mar 17,1251.16,401.94,-115.49,-283.80,0.00,0.00,2.65,8.66,11.31
Mar 18,1445.20,1182.58,-822.78,-304.27,0.00,0.00,55.53,11.31,66.84
Mar 19,1716.11,1113.65,-831.10,-326.26,0.00,0.00,-43.71,66.84,23.13
Mar 20,1908.26,1659.68,-1568.34,-94.25,0.00,0.00,-2.91,23.13,20.22
Mar 21,2379.44,1778.27,500.64,-2222.84,0.00,0.00,56.07,20.22,76.29
Mar 22,2145.12,1206.09,930.63,-2211.71,0.00,0.00,-74.99,76.29,1.30
Mar 23,2840.07,2442.05,-1386.44,-1047.82,0.00,0.00,7.79,1.30,9.09
Mar 24,2855.44,2233.73,506.76,-2508.73,0.00,0.00,231.76,9.09,240.85
